Apartamentos por Pisos,Año de Construcción,Barrio Privado,Baños,Cantidad de Pisos,Disposición,Dormitorios,Estado,Garajes,Gastos Comunes,M² de terraza,M² del terreno,M² edificados,Piso,Plantas,Sobre,Tipo de Propiedad,Vivienda Social,Zona,Moneda,Monto
,2016.0,,1,,Al frente,1.0,Buen estado,1.0,,,45.0,,9.0,1.0,,Apartamento,,Villa Biarritz,$,32000.0
,,,4,,No aplica,3.0,Buen estado,,,,1.0,,,,,Casa,,La Barra,U$S,158000.0
,,,8,,No aplica,6.0,Buen estado,,,,1.0,300.0,,,,Casa,,La Barra,U$S,220000.0
,,,1,10,No aplica,,Sin Definir,1.0,,,,110.0,,1.0,,Apartamento,,Malvín,$,49000.0
,2024.0,,3,,No aplica,3.0,A estrenar,,,,350.0,210.0,,1.0,,Casa,,Carrasco Barrios con Seguridad,U$S,160000.0
,1990.0,,2,,Al frente,2.0,Excelente estado,1.0,,,,,7.0,1.0,,Apartamento,,Pocitos,$,35000.0
,1950.0,,1,,Al frente,2.0,Buen estado,,,8.0,70.0,50.0,,1.0,,Casa,,Cerro,$,19500.0
,2023.0,,1,,Al frente,1.0,A estrenar,,,,,,10.0,1.0,,Apartamento,,Punta Carretas,$,41000.0
,2022.0,,2,,No aplica,2.0,Buen estado,1.0,,,,73.0,2.0,,,Apartamento,,Barra de Carrasco,U$S,68000.0
3.0,1976.0,,2,,Al frente,3.0,Buen estado,1.0,,,,,8.0,,,Apartamento,,Pocitos,$,37500.0
2.0,1945.0,,2,6,Al frente,3.0,Buen estado,1.0,,8.0,,111.0,2.0,1.0,,Apartamento,,Cordón,$,35000.0
,10.0,,3,,Al frente,5.0,Excelente estado,2.0,,40.0,630.0,300.0,,2.0,,Casa,,Carrasco,U$S,288000.0
2.0,1997.0,,2,11,Al frente,2.0,Excelente estado,1.0,,4.0,,70.0,,1.0,Rambla,Apartamento,,Villa Biarritz,U$S,52000.0
,2021.0,,3,,Al frente,,A estrenar,,,248.0,,631.0,,2.0,Avenida,Local Comercial,,Tres Cruces,U$S,326400.0
,2021.0,,3,,Contrafrente,,A estrenar,,,248.0,,522.0,,1.0,Avenida,Local Comercial,,Tres Cruces,U$S,278400.0
,2021.0,,2,,Contrafrente,,A estrenar,3.0,,104.0,,186.0,,1.0,Avenida,Oficina,,Tres Cruces,U$S,152000.0
,2021.0,,3,,Contrafrente,,A estrenar,3.0,,219.0,,455.0,,1.0,Avenida,Oficina,,Tres Cruces,U$S,240000.0
4.0,1959.0,,1,9,Contrafrente,1.0,Buen estado,,,,,41.0,3.0,1.0,,Apartamento,,Pocitos,$,25000.0
2.0,2000.0,,2,10,Al frente,3.0,Buen estado,,,20.0,,75.0,,1.0,,Apartamento,,Pocitos,$,39000.0
4.0,,,3,,Al frente,3.0,Excelente estado,,,30.0,,190.0,2.0,1.0,Rambla,Apartamento,,Carrasco,U$S,116000.0
,,,3,,Al frente,,Excelente estado,,,40.0,,170.0,,1.0,,Oficina,,Ciudad Vieja,$,111111.0
,,,2,,Al frente,,Buen estado,1.0,,6.0,,130.0,,1.0,,Oficina,,Centro,U$S,44000.0
8.0,2018.0,,1,3,Lateral,1.0,Excelente estado,1.0,,5.0,,40.0,2.0,1.0,,Apartamento,Si,Palermo,$,24500.0
,2000.0,,3,,Al frente,4.0,Excelente estado,2.0,,75.0,120.0,180.0,,3.0,,Casa,,Puerto Buceo,$,94000.0
4.0,2017.0,,1,14,Al frente,1.0,Excelente estado,1.0,,2.0,,41.0,9.0,1.0,,Apartamento,,Pocitos,$,38000.0
5.0,1994.0,,3,11,Al frente,4.0,Excelente estado,,,5.0,,110.0,5.0,1.0,,Apartamento,,Pocitos,$,60000.0
,2023.0,,2,,Al frente,,Buen estado,3.0,,,223.0,199.0,,1.0,,Local Comercial,,Carrasco,U$S,232000.0
,,,1,,No aplica,,Sin Definir,,,,,,,1.0,,Negocio Especial,,Ciudad Vieja,$,165000.0
6.0,,,3,4,Al frente,3.0,A estrenar,2.0,,65.0,,195.0,2.0,1.0,,Apartamento,,Parque Miramar,U$S,104000.0
,2023.0,,1,,Al frente,2.0,A estrenar,,,4.0,,40.0,,1.0,,Apartamento,,Cerro,$,18500.0
,,,3,,Al frente,,Buen estado,,,,25.0,20.0,,,,Oficina,,Parque Rodó,$,18000.0
,,,1,,Al frente,1.0,Buen estado,,,,,40.0,,,,Apartamento,,La Blanqueada,$,26000.0
3.0,1995.0,,1,10,Al frente,1.0,Buen estado,,,4.0,,40.0,5.0,1.0,Avenida,Apartamento,,Pocitos,$,27000.0
,2023.0,,2,,Al frente,3.0,A estrenar,1.0,,,185.0,117.0,,2.0,,Casa,,Carrasco Norte,U$S,94000.0
4.0,2023.0,,1,2,Al frente,,A estrenar,,,29.0,,41.0,1.0,2.0,,Apartamento,Si,Aguada,$,23000.0
,,,1,,Al frente,1.0,A estrenar,,,,,60.0,,1.0,,Apartamento,,Aguada,$,21500.0
,2020.0,,2,,Al frente,,Buen estado,2.0,,,,240.0,,1.0,,Oficina,,Palermo,U$S,240000.0
5.0,1982.0,,2,10,Al frente,3.0,Excelente estado,1.0,,10.0,,73.0,3.0,1.0,Avenida,Apartamento,,Punta Carretas,N/A,
2.0,2011.0,,3,,Al frente,2.0,Excelente estado,1.0,,80.0,,80.0,1.0,1.0,,Apartamento,,Pocitos,$,48000.0
2.0,2011.0,,3,,Al frente,2.0,Excelente estado,1.0,,80.0,,80.0,1.0,1.0,,Apartamento,,Pocitos,U$S,72000.0
2.0,2000.0,,1,6,Al frente,2.0,Excelente estado,1.0,,30.0,90.0,60.0,6.0,1.0,,Apartamento,,Malvín,U$S,100000.0
